,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,surplus,deficit
1,1,1,2015,14.5502,17.0,34.0,13,79,deficit,-161.08153114261253,0.9938302655894822,0.006169734410517824
2,2,1,2015,16.0818,18.5,33.0,31,81,deficit,-95.34037141930726,0.9896201355125813,0.010379864487418677
3,3,1,2015,13.784400000000002,17.5,33.0,20,70,deficit,-138.738322073271,0.9928437669412142,0.007156233058785766
4,4,1,2015,17.6134,17.5,32.5,18,33,deficit,-255.08473893020965,0.9960950425856009,0.003904957414399113
5,5,1,2015,15.316,18.0,32.0,16,41,deficit,-214.92089442688822,0.9953686742422299,0.004631325757770144
6,6,1,2015,15.316,18.0,31.6,21,69,deficit,-154.91412509420005,0.993586212927175,0.006413787072825028
7,7,1,2015,15.316,17.5,32.0,21,74,deficit,-149.0247411679525,0.9933344327594573,0.00666556724054268
8,8,1,2015,13.784400000000002,16.5,31.0,20,74,deficit,-143.48782971953437,0.9930790018651321,0.006920998134867906
9,9,1,2015,16.0818,19.0,33.0,22,44,deficit,-192.36765328754126,0.9948285042353336,0.005171495764666356
10,10,1,2015,20.676600000000004,18.0,32.0,16,39,deficit,-299.0866509366285,0.9966676291768434,0.0033323708231566274
11,11,1,2015,17.6134,18.5,32.0,25,39,deficit,-214.34811787755524,0.995356355979073,0.004643644020926985
12,12,1,2015,19.910800000000002,13.5,33.0,15,37,deficit,-304.1101512640582,0.9967224951518098,0.003277504848190227
13,13,1,2015,18.3792,17.0,32.0,19,47,deficit,-240.36487568254975,0.9958568950963883,0.004143104903611694
14,14,1,2015,15.316,16.0,34.5,17,84,deficit,-152.10870995575317,0.993468692928776,0.006531307071223957
15,15,1,2015,15.316,16.0,34.0,16,85,deficit,-156.04695098368336,0.9936324774614447,0.006367522538555326
16,16,1,2015,14.5502,16.0,34.0,15,92,deficit,-142.27088817416757,0.9930202149735796,0.006979785026420382
17,17,1,2015,16.0818,16.0,34.0,18,93,deficit,-144.64858977949586,0.993134159407146,0.006865840592854
18,18,1,2015,18.3792,17.5,34.0,23,86,deficit,-142.11234728474932,0.9930124827174394,0.00698751728256064
19,19,1,2015,14.5502,18.0,33.0,29,85,deficit,-89.76443461918927,0.9889824686927694,0.0110175313072306
20,20,1,2015,17.6134,21.5,33.0,35,89,deficit,-40.698101136292294,0.9760180926049498,0.02398190739505024
21,21,1,2015,13.784400000000002,23.5,33.5,38,90,surplus,7.856357828202719,1.1458500307388615,-0.1458500307388615
22,22,1,2015,9.1896,23.0,35.5,20,86,deficit,-37.59196362588183,0.9740878694410526,0.025912130558947366
23,23,1,2015,12.2528,22.5,33.2,37,89,deficit,-7.82805625066489,0.8867247815820516,0.11327521841794841
24,24,1,2015,15.316,23.5,34.0,30,90,deficit,-22.01539046028082,0.9565508131732214,0.04344918682677856
25,25,1,2015,16.0818,24.0,34.0,35,89,surplus,2.2298441516681393,1.8131111561116238,-0.8131111561116238
26,26,1,2015,14.5502,24.0,34.5,36,89,surplus,11.413119143129567,1.0960327051150458,-0.0960327051150458
27,27,1,2015,23.739800000000002,24.5,35.0,25,89,deficit,-50.231931961695764,0.9804809234844459,0.019519076515554068
28,28,1,2015,16.847600000000003,24.0,30.1,23,89,deficit,-72.40448733960606,0.9863768546550363,0.013623145344963672
29,29,1,2015,11.487,24.0,34.0,37,88,surplus,10.221982113124245,1.1084365581859947,-0.10843655818599474
30,30,1,2015,10.7212,24.1,34.0,38,91,surplus,19.296875112779038,1.0546541414223007,-0.05465414142230074
31,31,1,2015,16.847600000000003,24.0,34.0,42,89,surplus,34.01165382478685,1.0302923326806834,-0.03029233268068343
32,1,2,2015,15.316,24.2,35.0,35,89,surplus,13.714504376028511,1.0786503327558223,-0.07865033275582234
33,2,2,2015,15.316,24.0,35.0,34,86,deficit,-0.42739861695877934,0.29942485013008935,0.7005751498699107
34,3,2,2015,13.784400000000002,24.5,34.5,40,92,surplus,39.60150926530741,1.0259057228339705,-0.025905722833970524
35,4,2,2015,15.316,25.5,34.0,43,90,surplus,59.06225631429047,1.0172228925205216,-0.01722289252052156
36,5,2,2015,16.0818,24.5,34.5,38,90,surplus,29.529389427944597,1.0350515738349626,-0.0350515738349626
37,6,2,2015,16.847600000000003,25.0,35.5,38,94,surplus,59.42276912652464,1.017116614206258,-0.017116614206257985
38,7,2,2015,14.5502,25.0,35.0,41,90,surplus,51.81957686010591,1.0196774562439344,-0.019677456243934355
39,8,2,2015,15.316,25.8,36.0,40,90,surplus,71.24100914247497,1.01423669751059,-0.01423669751059009
40,9,2,2015,17.6134,25.0,36.5,35,90,surplus,44.46345930638116,1.0230078326934549,-0.023007832693454855
41,10,2,2015,18.3792,22.0,36.5,34,94,surplus,4.591553834951952,1.2784310206541505,-0.2784310206541505
42,11,2,2015,15.316,23.0,34.0,46,90,surplus,38.83505535878135,1.0264305150479422,-0.02643051504794225
43,12,2,2015,14.5502,24.0,34.0,34,85,deficit,-9.568103659810802,0.9053756442792213,0.09462435572077865
44,13,2,2015,14.5502,24.0,34.5,36,86,surplus,4.671274592350525,1.272384964634245,-0.2723849646342451
45,14,2,2015,19.145,24.0,35.0,32,86,deficit,-15.323834081306149,0.9387398821245563,0.06126011787544372
46,15,2,2015,19.145,25.5,35.5,33,88,surplus,25.90201791172581,1.0401573881901804,-0.04015738819018044
47,16,2,2015,20.676600000000004,24.0,34.0,39,85,surplus,8.736016160821315,1.1292655003830592,-0.12926550038305917
48,17,2,2015,15.316,23.5,35.0,35,84,deficit,-6.540139529581344,0.8673764595367476,0.13262354046325242
