,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,surplus,deficit
1,1,1,2020,19.584000000000003,18.0,31.0,23.0,42.0,deficit,-7706026135.605641,inf,-inf
2,2,1,2020,19.584000000000003,12.5,31.5,23.0,34.0,deficit,-300172325821.0823,2.0,-1.0
3,3,1,2020,16.38,17.0,32.0,24.0,35.0,deficit,-772024998843.2517,1.5,-0.5
4,4,1,2020,17.46,19.5,33.0,28.000000000000004,64.0,deficit,-1065480277436.0605,1.3333333333333333,-0.33333333333333326
5,5,1,2020,19.584000000000003,18.5,34.0,30.0,61.0,deficit,-1747518094882.6282,1.25,-0.25
6,6,1,2020,19.584000000000003,20.5,35.0,28.000000000000004,59.0,deficit,-2487014095818.8984,1.2,-0.19999999999999996
7,7,1,2020,17.424,20.0,35.0,22.0,64.0,deficit,-4333621855804.835,1.1666666666666667,-0.16666666666666674
8,8,1,2020,19.584000000000003,21.0,35.5,21.0,76.0,deficit,-5071950633623.489,1.1428571428571428,-0.1428571428571428
9,9,1,2020,17.28,20.0,34.0,40.0,100.0,deficit,-451332907832.0114,1.125,-0.125
10,10,1,2020,16.308,24.0,34.5,53.0,99.0,surplus,8664247696196.167,1.1111111111111112,-0.11111111111111116
11,11,1,2020,17.424,24.5,34.4,50.0,100.0,surplus,9887302186939.102,1.1,-0.10000000000000009
12,12,1,2020,16.38,24.0,34.5,27.0,100.0,deficit,-1629826735025.626,1.0909090909090908,-0.09090909090909083
13,13,1,2020,19.692,23.0,36.0,33.0,100.0,surplus,1460165483507.7224,1.0833333333333333,-0.08333333333333326
14,14,1,2020,20.088,22.5,36.0,35.0,97.0,surplus,841372547239.151,1.0769230769230769,-0.07692307692307687
15,15,1,2020,19.08,21.5,35.1,23.0,97.0,deficit,-13199804944379.482,1.0714285714285714,-0.0714285714285714
16,16,1,2020,20.124,20.0,35.5,19.0,59.0,deficit,-27852802173511.336,1.0666666666666667,-0.06666666666666665
17,17,1,2020,19.08,20.5,34.5,22.0,84.0,deficit,-25310631409987.816,1.0625,-0.0625
18,18,1,2020,19.259999999999998,20.0,34.0,24.0,49.0,deficit,-33834217722805.195,1.0588235294117647,-0.05882352941176472
19,19,1,2020,16.38,20.0,33.5,26.0,52.0,deficit,-36339257245201.984,1.0555555555555556,-0.05555555555555558
20,20,1,2020,19.188000000000002,20.0,35.1,23.0,54.0,deficit,-40964654927957.4,1.0526315789473684,-0.05263157894736836
21,21,1,2020,16.524,20.2,37.0,22.0,81.0,deficit,-36717830904848.71,1.05,-0.050000000000000044
22,22,1,2020,19.584000000000003,21.0,35.5,18.0,100.0,deficit,-39482299381697.54,1.0476190476190477,-0.04761904761904767
23,23,1,2020,20.448,20.5,35.5,13.0,28.000000000000004,deficit,-69157481841040.47,1.0454545454545454,-0.045454545454545414
24,24,1,2020,21.024,19.5,36.0,13.0,31.0,deficit,-75415378072942.23,1.0434782608695652,-0.04347826086956519
25,25,1,2020,20.7,19.5,36.0,14.000000000000002,43.0,deficit,-80281649971870.31,1.0416666666666667,-0.04166666666666674
26,26,1,2020,19.368,18.0,34.5,15.0,49.0,deficit,-89353617175723.44,1.04,-0.040000000000000036
27,27,1,2020,19.584000000000003,18.0,35.0,18.0,83.0,deficit,-86833623199627.89,1.0384615384615385,-0.03846153846153855
28,28,1,2020,19.98,18.0,37.0,17.0,74.0,deficit,-92889627897438.36,1.037037037037037,-0.03703703703703698
29,29,1,2020,20.340000000000003,18.5,36.0,11.0,73.0,deficit,-116932926883877.62,1.0357142857142858,-0.03571428571428581
