,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,surplus,deficit
1,1,1,2011,13.001962812500247,19.0,33.5,21,90,surplus,61281291696.28508,inf,-inf
2,2,1,2011,9.872774791666911,17.0,31.5,26,89,deficit,-132796427086.52481,2.0,-1.0
3,3,1,2011,10.605515590278014,17.5,33.0,27,95,deficit,-389703862756.77985,1.5,-0.5
4,4,1,2011,10.221941458333568,19.0,33.0,38,98,deficit,-103639599380.93872,1.3333333333333333,-0.33333333333333326
5,5,1,2011,9.217511166666888,19.0,31.5,50,97,surplus,231530498132.4956,1.25,-0.25
6,6,1,2011,10.074054826389125,21.0,32.5,23,97,deficit,-2043060540592.4302,1.2,-0.19999999999999996
7,7,1,2011,9.685897881944669,21.0,31.0,24,79,deficit,-4005190342295.201,1.1666666666666667,-0.16666666666666674
8,8,1,2011,11.944642500000242,18.0,32.0,16,74,deficit,-7785860833163.645,1.1428571428571428,-0.1428571428571428
9,9,1,2011,10.999201006944682,19.0,32.5,19,89,deficit,-8321863917193.945,1.125,-0.125
10,10,1,2011,11.194006909722459,16.5,32.3,19,52,deficit,-12333362715964.145,1.1111111111111112,-0.11111111111111116
11,11,1,2011,11.686660708333575,17.5,33.0,23,64,deficit,-13268953974003.693,1.1,-0.10000000000000009
12,12,1,2011,12.954970798611356,18.5,34.5,25,90,deficit,-11999564307339.402,1.0909090909090908,-0.09090909090909083
13,13,1,2011,11.003347361111349,22.5,34.0,29,97,deficit,-5145710931606.271,1.0833333333333333,-0.08333333333333326
14,14,1,2011,9.66451142361134,18.0,32.5,40,89,deficit,-10433677251903.268,1.0769230769230769,-0.07692307692307687
15,15,1,2011,10.970976701389127,19.0,32.0,20,55,deficit,-26919713844592.844,1.0714285714285714,-0.0714285714285714
16,16,1,2011,11.884774965278016,16.0,33.0,14,56,deficit,-35806006317997.484,1.0666666666666667,-0.06666666666666665
17,17,1,2011,10.481270451389122,16.5,31.5,19,80,deficit,-38103892552824.33,1.0625,-0.0625
18,18,1,2011,10.917874270833568,16.0,32.0,20,84,deficit,-42284552930434.766,1.0588235294117647,-0.05882352941176472
19,19,1,2011,10.640723229166902,16.0,33.5,21,90,deficit,-44137464049158.19,1.0555555555555556,-0.05555555555555558
20,20,1,2011,10.498219583333565,16.5,32.5,20,95,deficit,-50159689443704.83,1.0526315789473684,-0.05263157894736836
21,21,1,2011,10.906526354166902,16.0,32.5,26,95,deficit,-48682811781667.31,1.05,-0.050000000000000044
22,22,1,2011,10.768751006944678,16.5,33.5,28,100,deficit,-45334395322439.484,1.0476190476190477,-0.04761904761904767
23,23,1,2011,11.467520798611346,20.0,33.5,25,98,deficit,-40504145855877.33,1.0454545454545454,-0.045454545454545414
24,24,1,2011,10.836695930555784,20.0,33.0,38,98,deficit,-20619965788751.215,1.0434782608695652,-0.04347826086956519
25,25,1,2011,10.069908472222437,23.0,32.5,42,95,deficit,-942391689532.5297,1.0416666666666667,-0.04166666666666674
26,26,1,2011,12.10314961805579,23.0,34.0,40,96,surplus,3334033489741.331,1.04,-0.040000000000000036
27,27,1,2011,12.23634215277801,23.5,34.0,37,95,deficit,-1698841056318.03,1.0384615384615385,-0.03846153846153855
28,28,1,2011,11.696879652778014,23.5,34.5,32,98,deficit,-8992091171621.625,1.037037037037037,-0.03703703703703698
29,29,1,2011,12.68662166666691,23.5,34.0,36,100,surplus,2826191632144.8745,1.0357142857142858,-0.03571428571428581
30,30,1,2011,10.51793295138912,24.0,34.0,44,98,surplus,30395953031039.875,1.0344827586206897,-0.034482758620689724
31,31,1,2011,16.329,24.0,33.9,41,96,surplus,16987088280283.51,1.0333333333333334,-0.03333333333333344
32,1,2,2011,10.852041805555787,24.0,34.0,42,94,surplus,18016326228699.723,1.032258064516129,-0.032258064516129004
33,2,2,2011,11.071653090278003,24.0,34.0,44,95,surplus,28907919866427.844,1.03125,-0.03125
34,3,2,2011,9.332512118055782,24.0,32.0,50,95,surplus,33313734351431.934,1.0303030303030303,-0.030303030303030276
35,4,2,2011,9.972796493055787,23.5,33.0,38,95,deficit,-9324338836371.709,1.0294117647058822,-0.02941176470588225
36,5,2,2011,10.620718888889119,24.0,33.0,20,90,deficit,-89615108077063.19,1.0285714285714285,-0.02857142857142847
37,6,2,2011,13.250525833333578,21.5,34.0,32,95,deficit,-57581850689527.93,1.0277777777777777,-0.02777777777777768
38,7,2,2011,27.791018819444353,22.0,35.5,26,97,deficit,-68802874468840.72,1.027027027027027,-0.027027027027026973
39,8,2,2011,13.282241805555513,23.5,35.0,28,95,deficit,-46163681798336.234,1.0263157894736843,-0.026315789473684292
40,9,2,2011,12.861059513888847,24.0,34.5,34,95,deficit,-9869508862752.521,1.0256410256410255,-0.02564102564102555
41,10,2,2011,8.334986597222237,23.0,33.5,42,100,surplus,22122958310747.246,1.025,-0.02499999999999991
42,11,2,2011,14.392300833333287,21.0,33.5,42,100,deficit,-15706482162038.488,1.024390243902439,-0.024390243902439046
43,12,2,2011,11.63024701388885,21.0,32.0,57,100,surplus,50718817430791.195,1.0238095238095237,-0.023809523809523725
44,13,2,2011,11.773550833333292,24.0,33.5,48,100,surplus,89324256218070.8,1.0232558139534884,-0.023255813953488413
45,14,2,2011,17.241646319444396,24.0,34.0,36,97,surplus,1888787189381.999,1.0227272727272727,-0.022727272727272707
46,15,2,2011,14.55888243055551,22.0,33.0,45,98,surplus,8203360852053.067,1.0222222222222221,-0.022222222222222143
47,16,2,2011,16.891752222222173,23.0,35.0,31,95,deficit,-56054766362998.1,1.0217391304347827,-0.021739130434782705
48,17,2,2011,15.444892847222176,24.0,35.0,34,95,deficit,-8034438587873.52,1.0212765957446808,-0.02127659574468077
49,18,2,2011,12.62464458333329,23.0,34.5,49,92,surplus,71585255466814.73,1.0208333333333333,-0.02083333333333326
50,19,2,2011,17.185634166666613,22.0,35.0,30,99,deficit,-83940606239492.2,1.0204081632653061,-0.020408163265306145
51,20,2,2011,16.955038680555507,22.0,34.5,39,95,deficit,-26901885109840.293,1.02,-0.020000000000000018
52,21,2,2011,12.695932777777731,24.0,34.5,45,100,surplus,118897580860685.58,1.0196078431372548,-0.019607843137254832
53,22,2,2011,12.424601180555516,22.0,33.0,55,98,surplus,104058445615496.67,1.0192307692307692,-0.019230769230769162
54,23,2,2011,7.897073402777792,23.0,30.5,60,100,surplus,124180491098629.62,1.0188679245283019,-0.018867924528301883
55,24,2,2011,12.954898055555514,23.5,32.5,41,98,surplus,7380163015627.054,1.0185185185185186,-0.0185185185185186
56,25,2,2011,15.361965763888843,22.5,33.0,45,95,surplus,9326647591358.195,1.018181818181818,-0.018181818181818077
57,26,2,2011,11.28253520833329,23.5,34.0,44,100,surplus,95070244582767.56,1.0178571428571428,-0.017857142857142794
58,27,2,2011,18.500101180555504,21.5,34.0,44,100,surplus,21850135284526.383,1.0175438596491229,-0.01754385964912286
59,28,2,2011,19.078408472222172,21.0,34.5,20,96,deficit,-303965898321773.6,1.0172413793103448,-0.01724137931034475
60,1,3,2011,15.414340763888841,21.0,33.0,39,95,deficit,-114199628082587.86,1.0169491525423728,-0.016949152542372836
61,2,3,2011,14.273002222222178,24.0,33.5,44,98,surplus,97672340565925.73,1.0166666666666666,-0.016666666666666607
