,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,surplus,deficit
1,1,1,2021,13.9038,23.5,34.0,25,94,deficit,-29.40258051188893,0.9671080551991648,0.03289194480083524
2,2,1,2021,10.6242,25.0,32.5,40,94,surplus,29.090950023809157,1.035598653628746,-0.035598653628746035
3,3,1,2021,10.0185,25.0,34.0,43,96,surplus,48.94143712103052,1.020858782298817,-0.020858782298817102
4,4,1,2021,12.3033,25.0,35.1,29,91,surplus,5.284061148678171,1.2334233721917218,-0.23342337219172182
5,5,1,2021,14.5065,23.0,29.5,38,95,deficit,-16.48418754348409,0.9428054636503441,0.05719453634965588
6,6,1,2021,13.1997,23.0,30.0,41,79,deficit,-32.04786474730105,0.9697408589739018,0.03025914102609817
7,7,1,2021,13.1019,22.0,34.1,37,95,surplus,2.797692598217676,1.556268630683272,-0.556268630683272
8,8,1,2021,14.3352,23.0,35.0,20,94,deficit,-52.11072739839459,0.9811714120859466,0.018828587914053396
9,9,1,2021,14.9055,24.0,35.1,20,95,deficit,-39.737211164079454,0.9754524187732869,0.024547581226713078
10,10,1,2021,11.6763,25.0,33.0,33,97,surplus,18.50507901039603,1.0571262774310308,-0.057126277431030825
11,11,1,2021,12.4029,24.5,28.5,34,99,deficit,-4.048772696613577,0.801932061494719,0.19806793850528104
12,12,1,2021,13.8192,23.0,35.0,14,95,deficit,-71.7797251004011,0.9862599096297701,0.01374009037022994
13,13,1,2021,14.0559,23.0,34.0,18,96,deficit,-58.35269691800152,0.9831515659451575,0.016848434054842487
14,14,1,2021,14.9985,26.0,35.0,16,94,deficit,-33.323935498985946,0.9708658117007141,0.029134188299285935
15,15,1,2021,15.2619,26.0,36.0,10,93,deficit,-61.91893241283694,0.9841065326182176,0.015893467381782433
16,16,1,2021,13.9302,23.0,34.0,4,95,deficit,-112.88432956812002,0.9912191606712507,0.00878083932874929
17,17,1,2021,12.4896,24.0,33.0,16,95,deficit,-51.180792135406165,0.9808358601110336,0.01916413988896637
18,18,1,2021,10.6422,23.0,32.1,37,94,deficit,0.6279367646818734,-1.6877151652593851,2.687715165259385
19,19,1,2021,12.3627,24.0,33.0,15,94,deficit,-55.59134893649966,0.9823294546111264,0.017670545388873582
20,20,1,2021,12.5832,23.0,33.0,2,65,deficit,-160.97454442369778,0.9938261903834459,0.006173809616554116
21,21,1,2021,12.4695,25.0,33.0,2,85,deficit,-105.88316512911697,0.9906439896424102,0.009356010357589817
22,22,1,2021,10.6395,19.0,32.0,5,58,deficit,-151.08862548092304,0.9934248863329662,0.006575113667033783
23,23,1,2021,11.1276,19.0,34.0,2,60,deficit,-165.95385604645676,0.9940103210331258,0.00598967896687419
24,24,1,2021,11.544,19.5,35.2,4,91,deficit,-124.30479409340587,0.9920194593731619,0.007980540626838062
25,25,1,2021,10.806,19.5,34.0,22,95,deficit,-58.36719415942373,0.9831556802682199,0.016844319731780133
26,26,1,2021,12.4581,26.0,35.5,12,95,deficit,-36.67164411779894,0.9734548352370019,0.026545164762998064
27,27,1,2021,12.6993,23.5,34.0,22,94,deficit,-36.03837534810278,0.9730009755935144,0.026999024406485606
28,28,1,2021,11.3673,23.5,34.0,26,94,deficit,-18.3237543216367,0.9482502218070374,0.05174977819296256
29,29,1,2021,12.0021,24.0,36.0,17,96,deficit,-35.15378819863584,0.9723403811930909,0.027659618806909148
30,30,1,2021,12.0912,24.5,34.5,15,95,deficit,-43.540784536602025,0.9775486666792266,0.022451333320773426
31,31,1,2021,12.1308,23.5,34.5,15,94,deficit,-55.84537729718637,0.9824084200414042,0.017591579958595838
32,1,2,2021,12.1593,23.5,35.0,21,96,deficit,-29.912113407331375,0.9676502222017976,0.03234977779820236
33,2,2,2021,12.1911,24.0,33.5,9,92,deficit,-76.70146100225142,0.9871302291218047,0.012869770878195297
