,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,surplus,deficit
1,1,1,2018,15.0642,18.5,33.5,12.9,67.9,deficit,-176.42822859645352,0.9943639182563535,0.005636081743646493
2,2,1,2018,12.6918,19.5,33.5,15.5,66.9,deficit,-134.45983989852957,0.9926177382111991,0.007382261788800859
3,3,1,2018,13.7628,20.0,31.5,60.0,27.0,deficit,-71.31748882665134,0.9861720862238863,0.013827913776113698
4,4,1,2018,16.2396,20.5,31.0,4.0,31.0,deficit,-285.35230526970014,0.9965077983253596,0.0034922016746403717
5,5,1,2018,15.615,20.0,34.0,8.5,59.2,deficit,-207.71902199991302,0.9952088698460824,0.004791130153917633
6,6,1,2018,15.4818,16.5,33.0,9.4,77.3,deficit,-192.9314646996573,0.994843539177365,0.0051564608226349895
7,7,1,2018,13.3992,17.0,33.5,28.3,94.1,deficit,-76.44373205009126,0.9870873991538374,0.012912600846162636
8,8,1,2018,13.5774,18.5,32.5,20.0,97.0,deficit,-94.12157530385856,0.9894871379410447,0.010512862058955297
9,9,1,2018,16.5888,20.5,36.0,12.9,98.0,deficit,-115.87384306348218,0.9914437655698818,0.008556234430118215
10,10,1,2018,14.9328,20.0,33.5,20.0,96.0,deficit,-89.25752384356237,0.9889205912436371,0.01107940875636293
11,11,1,2018,15.597,21.5,35.0,2.0,90.0,deficit,-164.56005087617623,0.9939598955502381,0.006040104449761885
12,12,1,2018,17.4834,21.5,30.1,0.0,95.0,deficit,-177.92992399153115,0.9944112198916077,0.005588780108392255
13,13,1,2018,13.194,21.0,34.0,0.0,97.0,deficit,-136.03479405397044,0.9927025832606707,0.0072974167393292655
14,14,1,2018,14.0346,18.0,33.5,0.0,97.0,deficit,-170.61937380026583,0.9941731520290721,0.0058268479709279175
15,15,1,2018,12.951,18.0,33.5,0.0,96.0,deficit,-157.70761867072943,0.9936991052579857,0.00630089474201434
16,16,1,2018,14.9904,19.0,32.5,20.0,95.0,deficit,-104.11269220385628,0.9904864010327069,0.009513598967293091
17,17,1,2018,16.155,21.5,34.5,5.0,93.0,deficit,-150.70725200534392,0.9934083573014375,0.006591642698562494
18,18,1,2018,12.1572,22.5,34.5,0.0,95.0,deficit,-114.97559906359207,0.9913774965762266,0.008622503423773353
19,19,1,2018,12.8844,22.5,33.5,27.0,95.0,deficit,-30.124353748738983,0.9678708188426076,0.032129181157392384
20,20,1,2018,15.5358,22.5,34.5,10.0,90.0,deficit,-118.17373811592165,0.991608889543875,0.00839111045612495
21,21,1,2018,16.8372,22.2,35.0,5.0,96.0,deficit,-142.43877478912285,0.9930283843997542,0.00697161560024584
22,22,1,2018,13.815,24.0,19.5,0.0,86.0,deficit,-121.1494354151638,0.9918133064094715,0.008186693590528482
23,23,1,2018,13.6332,19.0,33.0,8.0,90.0,deficit,-140.22850456421637,0.9929192764372485,0.0070807235627514675
24,24,1,2018,12.0798,19.5,32.0,7.0,57.0,deficit,-167.243374921684,0.9940562295515917,0.005943770448408325
25,25,1,2018,11.3238,18.0,33.0,0.0,74.0,deficit,-161.00428529674792,0.9938273237762305,0.006172676223769491
26,26,1,2018,13.2336,17.2,32.5,7.0,80.0,deficit,-163.81650945986593,0.9939326466548941,0.006067353345105886
27,27,1,2018,13.068,18.0,33.5,6.0,90.0,deficit,-147.18630564851156,0.9932517381034389,0.006748261896561081
28,28,1,2018,14.5386,21.0,33.5,10.0,90.0,deficit,-125.57545724017152,0.9920995742634171,0.007900425736582894
29,29,1,2018,14.2236,20.2,34.5,13.0,93.0,deficit,-111.54938667520426,0.9911150115558977,0.008884988444102349
30,30,1,2018,15.0264,22.0,34.0,0.0,73.0,deficit,-194.87285389326146,0.99489464731777,0.005105352682230002
31,31,1,2018,13.356257142857142,20.0,35.0,0.0,77.0,deficit,-179.43338728670125,0.9944577884667706,0.005542211533229424
32,1,2,2018,13.0014,19.5,36.0,4.0,99.0,deficit,-129.98898925062963,0.9923657705451362,0.007634229454863806
33,2,2,2018,14.076,19.5,34.0,12.0,95.0,deficit,-117.79883430597658,0.9915824089870746,0.008417591012925385
34,3,2,2018,15.7374,22.1,35.5,6.0,97.0,deficit,-126.41780601637639,0.9921518033368785,0.007848196663121532
35,4,2,2018,16.1766,19.0,35.5,36.0,95.0,deficit,-26.103282060998517,0.9631040994315964,0.03689590056840364
36,5,2,2018,13.8942,23.5,36.5,20.0,98.0,deficit,-29.611986532722725,0.9673330576265918,0.03266694237340817
37,6,2,2018,14.7168,24.0,35.5,31.0,95.0,surplus,11.503439203897432,1.0952069108591536,-0.09520691085915356
38,7,2,2018,12.681,24.0,36.5,26.0,96.0,deficit,0.3016130375229036,-0.4318709450891203,1.4318709450891203
39,8,2,2018,14.326199999999998,25.0,35.5,38.0,96.0,surplus,57.47042325420275,1.0177083850690913,-0.017708385069091337
40,9,2,2018,14.2884,26.0,33.0,56.0,98.0,surplus,121.65288795874173,1.0082882392366932,-0.008288239236693196
41,10,2,2018,14.5458,24.0,33.0,30.0,95.0,deficit,-9.477237470356641,0.9045549933530369,0.0954450066469631
42,11,2,2018,17.1036,23.5,31.0,55.0,95.0,surplus,62.49248778962908,1.0162621490192605,-0.016262149019260486
43,12,2,2018,14.8374,24.5,35.2,20.0,97.0,deficit,-27.779381829304768,0.9652529020278767,0.034747097972123275
44,13,2,2018,14.49,24.0,35.0,0.0,93.0,deficit,-127.7866196629109,0.9922352182034327,0.007764781796567255
45,14,2,2018,16.3044,23.0,35.1,13.0,95.0,deficit,-91.73389379233791,0.9892164562588159,0.010783543741184065
46,15,2,2018,16.2828,23.5,35.5,25.0,95.0,deficit,-25.242806457528538,0.9618943194349886,0.0381056805650114
47,16,2,2018,14.5782,24.7,35.5,29.0,98.0,surplus,19.077919082163874,1.0553161011206553,-0.055316101120655325
48,17,2,2018,13.7232,25.0,35.5,24.0,96.0,deficit,-2.577598587101141,0.7204828949772477,0.2795171050227523
49,18,2,2018,17.0748,26.0,33.0,50.0,85.0,surplus,77.12055124256554,1.0131370567300992,-0.013137056730099239
50,19,2,2018,15.327257142857144,23.0,34.5,35.0,92.0,surplus,1.3702305181278298,3.7010199079664465,-2.7010199079664465
51,20,2,2018,13.1382,23.0,30.0,46.0,98.0,surplus,17.025177455162964,1.0624018050844,-0.062401805084399964
52,21,2,2018,15.6618,23.5,33.5,44.0,97.0,surplus,48.162643156180394,1.0212032221495406,-0.021203222149540624
53,22,2,2018,13.1778,23.5,33.5,33.0,96.0,surplus,2.4031040740906384,1.7127055066446921,-0.7127055066446921
54,23,2,2018,14.668751020408164,24.5,34.5,39.0,97.0,surplus,48.76032120862328,1.0209378826334075,-0.020937882633407456
55,24,2,2018,18.4266,21.2,33.5,71.0,96.0,surplus,147.17912132819885,1.0068409222255128,-0.006840922225512802
56,25,2,2018,13.503085714285715,22.2,35.0,37.0,97.0,surplus,15.237476375842816,1.0702371665878043,-0.07023716658780432
57,26,2,2018,16.0272,25.0,29.5,67.0,98.0,surplus,111.45007167666722,1.0090538646541345,-0.009053864654134491
58,27,2,2018,13.6854,25.5,32.5,49.0,96.0,surplus,75.41057849108945,1.0134389494112017,-0.013438949411201717
