,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,surplus,deficit
1,1,1,2017,16.083,18.5,33.0,19.0,93.2,surplus,54848915307.6088,inf,-inf
2,2,1,2017,16.038,19.0,34.0,19.0,93.3,deficit,-104065684091.0697,2.0,-1.0
3,3,1,2017,16.9002,18.0,34.0,19.0,91.4,deficit,-583240638012.2913,1.5,-0.5
4,4,1,2017,16.7346,18.0,34.0,19.0,86.9,deficit,-1315185716458.7634,1.3333333333333333,-0.33333333333333326
5,5,1,2017,14.8104,17.0,33.5,19.0,89.0,deficit,-2441440474447.498,1.25,-0.25
6,6,1,2017,15.6186,19.0,34.5,17.3,93.9,deficit,-3197949585080.755,1.2,-0.19999999999999996
7,7,1,2017,13.3002,20.0,33.5,10.0,79.0,deficit,-5896038473278.007,1.1666666666666667,-0.16666666666666674
8,8,1,2017,14.49,22.0,29.0,26.0,98.0,deficit,-3762279901402.2666,1.1428571428571428,-0.1428571428571428
9,9,1,2017,16.1064,18.0,35.0,11.2,97.0,deficit,-10164353302117.684,1.125,-0.125
10,10,1,2017,17.055,18.0,34.0,5.0,90.0,deficit,-15223321587861.898,1.1111111111111112,-0.11111111111111116
11,11,1,2017,13.2084,20.0,35.0,15.0,96.0,deficit,-12012070444674.033,1.1,-0.10000000000000009
12,12,1,2017,13.1292,23.0,33.5,36.0,91.0,deficit,-1898566100657.2449,1.0909090909090908,-0.09090909090909083
13,13,1,2017,11.0214,24.0,33.5,39.0,90.0,surplus,638921018518.6737,1.0833333333333333,-0.08333333333333326
14,14,1,2017,13.8546,21.5,33.0,38.0,92.0,deficit,-4855806447400.047,1.0769230769230769,-0.07692307692307687
15,15,1,2017,12.2778,20.0,33.0,5.0,70.0,deficit,-33569901366674.59,1.0714285714285714,-0.0714285714285714
16,16,1,2017,15.0696,20.0,34.0,10.0,86.0,deficit,-33204888304803.113,1.0666666666666667,-0.06666666666666665
17,17,1,2017,14.4828,19.0,33.5,31.0,90.0,deficit,-20010246484667.367,1.0625,-0.0625
18,18,1,2017,15.786,23.0,35.0,32.0,91.0,deficit,-7166949469499.393,1.0588235294117647,-0.05882352941176472
19,19,1,2017,13.1598,23.0,26.0,34.0,89.0,deficit,-24198884260326.297,1.0555555555555556,-0.05555555555555558
20,20,1,2017,10.4022,25.0,33.0,42.0,87.0,surplus,3751197974561.9233,1.0526315789473684,-0.05263157894736836
21,21,1,2017,13.576114285714286,25.0,33.0,56.0,90.0,surplus,26530715426273.594,1.05,-0.050000000000000044
22,22,1,2017,12.8628,25.0,34.0,48.0,94.0,surplus,25464879987736.11,1.0476190476190477,-0.04761904761904767
23,23,1,2017,15.9408,22.0,36.0,26.0,90.0,deficit,-27069689597785.684,1.0454545454545454,-0.045454545454545414
24,24,1,2017,14.9112,22.0,34.5,30.0,89.0,deficit,-26922683390171.312,1.0434782608695652,-0.04347826086956519
25,25,1,2017,16.407,22.5,34.0,16.0,90.0,deficit,-56897903638610.68,1.0416666666666667,-0.04166666666666674
26,26,1,2017,16.2846,22.0,35.0,16.0,89.0,deficit,-63297425511845.46,1.04,-0.040000000000000036
27,27,1,2017,14.4522,23.0,34.0,28.0,98.0,deficit,-25086473547732.15,1.0384615384615385,-0.03846153846153855
28,28,1,2017,16.0848,23.5,34.5,17.0,90.0,deficit,-60748175788837.7,1.037037037037037,-0.03703703703703698
29,29,1,2017,15.219,23.5,35.0,26.0,88.0,deficit,-39456781749343.22,1.0357142857142858,-0.03571428571428581
