,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,surplus,deficit
1,1,1,2016,16.847600000000003,17.5,33.5,20,62,deficit,-184.2209312100524,0.9946010421529199,0.00539895784708011
2,2,1,2016,19.145,18.5,33.0,25,59,deficit,-189.11073292555596,0.994739907712672,0.005260092287328044
3,3,1,2016,17.6134,18.5,32.0,29,54,deficit,-170.23792293470012,0.99416017209937,0.005839827900629979
4,4,1,2016,18.3792,20.0,34.0,27,80,deficit,-110.99839452450934,0.9910713005820707,0.008928699417929287
5,5,1,2016,14.5502,19.0,33.2,27,91,deficit,-78.99272897312481,0.9874988637987838,0.012501136201216179
6,6,1,2016,13.018600000000001,19.4,34.5,24,76,deficit,-93.00895274694473,0.9893627152438149,0.010637284756185084
7,7,1,2016,14.5502,18.5,37.0,14,86,deficit,-130.42905752352317,0.9923913324888521,0.00760866751114786
8,8,1,2016,14.5502,18.0,35.0,35,100,deficit,-31.646044084399673,0.9693684172754682,0.030631582724531814
9,9,1,2016,16.0818,22.0,34.0,26,98,deficit,-42.11037296327782,0.976803726545075,0.02319627345492503
10,10,1,2016,12.2528,23.0,33.5,50,98,surplus,56.645387245886425,1.0179709415190372,-0.01797094151903722
11,11,1,2016,16.847600000000003,23.0,35.0,48,98,surplus,82.9297019663621,1.0122055857155512,-0.012205585715551193
12,12,1,2016,18.3792,23.0,34.5,23,98,deficit,-47.31188462120659,0.9793011593764023,0.020698840623597725
13,13,1,2016,15.316,21.5,33.5,37,97,deficit,-5.94294134979164,0.8559688250816045,0.14403117491839545
14,14,1,2016,13.8546,22.0,32.0,41,96,surplus,2.092413870545357,1.9154039755104701,-0.9154039755104701
15,15,1,2016,16.0818,23.0,34.0,34,96,surplus,1.3421881698303029,3.9223687087017605,-2.9223687087017605
16,16,1,2016,20.676600000000004,22.5,34.5,36,97,surplus,9.00459264965204,1.1249282810217045,-0.1249282810217045
